1,,,,,,,,,,,,,
14,14,,,,,,,,,,,,
G,G,G,G,G,T,T,T,T,G,G,G,G,G
G,G,G,G,G,T,T,T,T,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G
T,T,T,G,G,G,G,G,G,G,G,G,G,G
12,,,,,,,,,,,,,
7,1,P,,,,,,,,,,,
4,14,p,,,,,,,,,,,
14,14,p,,,,,,,,,,,
1,13,p,,,,,,,,,,,
5,7,p,,,,,,,,,,,
14,6,p,,,,,,,,,,,
14,13,p,,,,,,,,,,,
1,3,p,,,,,,,,,,,
2,5,p,,,,,,,,,,,
4,8,p,,,,,,,,,,,
13,9,p,,,,,,,,,,,
1,14,Gema,,,,,,,,,,,
