1,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,Placa,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,Placa,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
38,,,,,,,,,,,,,,,
8,1,p,,,,,,,,,,,,,
8,2,PortaDePressao,1,2,6,2,6,3,,,,,,,
8,3,p,,,,,,,,,,,,,
8,4,p,,,,,,,,,,,,,
8,5,p,,,,,,,,,,,,,
8,6,p,,,,,,,,,,,,,
8,7,p,,,,,,,,,,,,,
8,8,p,,,,,,,,,,,,,
8,9,p,,,,,,,,,,,,,
8,10,p,,,,,,,,,,,,,
8,11,p,,,,,,,,,,,,,
8,12,p,,,,,,,,,,,,,
8,13,p,,,,,,,,,,,,,
8,14,p,,,,,,,,,,,,,
1,14,P,,,,,,,,,,,,,
2,9,p,,,,,,,,,,,,,
3,9,Porta,0,goldenKey,,,,,,,,,,,
7,14,goldenKey,,,,,,,,,,,,,
5,9,p,,,,,,,,,,,,,
6,9,p,,,,,,,,,,,,,
7,9,p,,,,,,,,,,,,,
9,9,p,,,,,,,,,,,,,
10,9,p,,,,,,,,,,,,,
11,9,p,,,,,,,,,,,,,
13,9,p,,,,,,,,,,,,,
14,9,p,,,,,,,,,,,,,
1,9,p,,,,,,,,,,,,,
4,9,p,,,,,,,,,,,,,
3,12,C,,,,,,,,,,,,,
6,10,L,1,0,0,,,,,,,,,,
7,11,L,2,0,0,,,,,,,,,,
8,3,p,,,,,,,,,,,,,
4,4,C,,,,,,,,,,,,,
4,5,C,,,,,,,,,,,,,
13,9,p,,,,,,,,,,,,,
14,14,Gema,,,,,,,,,,,,,
13,10,L,1,0,0,,,,,,,,,,
12,10,L,1,0,0,,,,,,,,,,
11,9,C,,,,,,,,,,,,,
10,9,C,,,,,,,,,,,,,
